,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
0,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/w/9/y/nokia-6-1-plus-ta-1083-ds-original-imaf9f3ensex8mvy.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 7399.00,Nokia 6.1 Plus,64 GB,Black,10499
1,https://rukminim1.flixcart.com/image/612/612/keq058w0/mobile/x/g/n/lenovo-a7-a7-l19111-original-imafvc7sqft2xaaf.jpeg?q=70,4 GB RAM,Refurbished - Superb,₹ 6790.00,lenovo A7,64 GB,Black,8893
2,https://rukminim1.flixcart.com/image/612/612/kah413k0/mobile/d/m/z/samsung-galaxy-m21-b07hgh8d2r-original-imafsfexgymaayrk.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 10520.00,SAMSUNG Galaxy M21,64 GB,Raven Black,13999
3,https://rukminim1.flixcart.com/image/612/612/k2jbyq80pkrrdj/mobile-refurbished/g/j/t/3-2-32-u-7-20e-11-nokia-3-original-imafh7ezebm8jjhg.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 6890.00,Nokia 3.2,32 GB,Steel,9999
4,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/n/k/e/infocus-snap-4-if9003-original-imaf8ergzfwvzrgg.jpeg?q=70,4 GB RAM,Refurbished - Superb,₹ 5490.00,InFocus Snap 4,64 GB,Platinum Gold,9999
5,https://rukminim1.flixcart.com/image/612/612/kc0u7bk0/mobile/z/8/f/vivo-y30-vivo-1938-original-imaft8ukdzqfzekw.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 11230.00,ViVO Y30,128 GB,Dazzle Blue,13990
6,https://rukminim1.flixcart.com/image/612/612/k5lcvbk0/mobile/7/z/5/oppo-f15-cph2001-original-imafz8gnxjzfcsck.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 16540.00,OPPO F15,128 GB,Unicorn White,19990
7,https://rukminim1.flixcart.com/image/612/612/kctf0cw0/mobile/g/a/z/samsung-galaxy-a71-sm-a715fmswins-original-imaftvyfbzzgbham.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 21970.00,SAMSUNG Galaxy A71,128 GB,Haze Crush Silver,27499
8,https://rukminim1.flixcart.com/image/832/832/kekadu80/mobile/y/q/5/oppo-f17-pro-cph2119-original-imafv7pxgndwsekf.jpeg?q=70,8 GB RAM,Refurbished - Superb,₹ 18000.00,OPPO F17 Pro,128 GB,Matt Black,21490
9,https://rukminim1.flixcart.com/image/612/612/k62i5jk0/mobile/y/k/s/samsung-galaxy-a51-sm-a515fzkhins-original-imafzhr399hrsbzb.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 18390.00,SAMSUNG Galaxy A51,128 GB,Prism Crush Black,20999
10,https://rukminim1.flixcart.com/image/612/612/k79dd3k0/mobile/z/p/h/oppo-reno3-pro-cph2035-original-imafpj4fgfrzskf3.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 23360.00,OPPO Reno3 Pro,128 GB,Auroral Blue,42120
11,https://rukminim1.flixcart.com/image/612/612/k9stjm80/mobile/g/z/n/vivo-v19-vivo-1933-pd1969f-ex-original-imafrgnzzumcn2zw.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 20380.00,ViVO V19,128 GB,Mystic Silver,20200
12,https://rukminim1.flixcart.com/image/612/612/kb5eikw0/mobile/u/f/j/vivo-y50-vivo-1935-original-imafska3qdchhybq.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 16710.00,ViVO Y50,128 GB,Iris Blue,16490
13,https://rukminim1.flixcart.com/image/612/612/kekadu80/mobile/p/h/u/oppo-f17-pro-cph2119-original-imafv7pxpzkbbzxy.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 19750.00,OPPO F17 Pro,128 GB,Metallic White,21490
14,https://rukminim1.flixcart.com/image/612/612/k79dd3k0/mobile/h/q/n/oppo-reno3-pro-cph2035-original-imafpj4fspdkfmmt.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 20370.00,OPPO Reno3 Pro,128 GB,Midnight Black,42120
15,https://rukminim1.flixcart.com/image/612/612/kekadu80/mobile/x/n/y/oppo-f17-pro-cph2119-original-imafv7pxhjkcrv3q.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 19720.00,OPPO F17 Pro,128 GB,Magic Blue,21490
16,https://rukminim1.flixcart.com/image/612/612/kekadu80/mobile/y/q/5/oppo-f17-pro-cph2119-original-imafv7pxgndwsekf.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 19740.00,OPPO F17 Pro,128 GB,Matte Black,21490
17,https://rukminim1.flixcart.com/image/612/612/k5bcscw0/mobile/t/v/n/oppo-f15-cph2001-original-imafzyp3fgpkh5g4.jpeg?q=70,8 GB RAM,Refurbished - Good,₹ 15350.00,OPPO F15,128 GB,Lightening Black,19990
18,https://rukminim1.flixcart.com/image/612/612/k1fbmvk0pkrrdj/mobile-refurbished/t/s/m/4-2-32-c-ta-1152-nokia-3-original-imafgx99xr7fhg8r.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 6690.00,Nokia 4.2,32 GB,Black,11796
19,https://rukminim1.flixcart.com/image/612/612/kbi9h8w0/mobile/q/2/x/samsung-galaxy-a21s-sm-a217fzbfins-original-imafsuyataz9hpmz.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 12810.00,SAMSUNG Galaxy A21s,64 GB,Blue,12999
20,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Superb,₹ 6890.00,LG W10 Alpha,32 GB,Black,14170
21,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,4 GB RAM,Refurbished - Superb,₹ 5490.00,InFocus Snap 4,64 GB,Midnight Black,9999
22,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,2 GB RAM,Refurbished - Okay,₹ 3990.00,YU Yureka Plus,16 GB,White,11561
24,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Superb,₹ 7790.00,LG W10,32 GB,Smokey Gray,11990
25,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,1 GB RAM,Refurbished - Good,₹ 4290.00,Panasonic P55 Novo,8 GB,Midnight Blue,8893
29,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Superb,₹ 6890.00,Nokia 3.2,32 GB,Black,9999
31,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,2 GB RAM,Refurbished - Superb,₹ 11499.00,APPLE iPhone 6,64 GB,Space Grey,10200
33,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,4 GB RAM,Refurbished - Superb,₹ 8699.00,Redmi 9,64 GB,Carbon Black,8799
34,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,3 GB RAM,Refurbished - Superb,₹ 7299.00,Redmi Note 5 Pro,64 GB,Black,17820
36,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,6 GB RAM,Refurbished - Superb,₹ 8799.00,Redmi 9,64 GB,Sky Blue,8799
37,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,2 GB RAM,Refurbished - Superb,₹ 14899.00,Redmi Note 9,128 GB,Scarlet Red,10999
38,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,2 GB RAM,Refurbished - Good,₹ 3299.00,Moto E3 Power,16 GB,Black,11960
39,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_70cecb.svg,,Refurbished - Good,₹ 5299.00,realme C2,16 GB,Diamond Black,7790
40,https://rukminim1.flixcart.com/image/612/612/k2tc1ow0pkrrdj/mobile-refurbished/f/a/c/k8-plus-32-u-pa8c0020in-pa8c0003in-lenovo-3-original-imaf6nh2h6vmxzth.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 4299.00,lenovo K8 Plus,32 GB,Venom Black,17786
41,https://rukminim1.flixcart.com/image/612/612/jvv9zm80/mobile-refurbished/g/r/s/iphone-6s-128-c-mkqw2hn-a-apple-0-0-original-imaf6meuqgzgghv9.jpeg?q=70,4 GB RAM,Refurbished - Superb,₹ 13499.00,APPLE iPhone 6s,64 GB,Rose Gold,23460
42,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/j/g/u/mi-redmi-note-5-pro-mzb6083in-original-imaf6mhhzt797tfr.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 6999.00,Redmi Note 5 Pro,64 GB,Black,17820
43,https://rukminim1.flixcart.com/image/612/612/jsaocy80/mobile-refurbished/m/g/q/redmi-4a-16-c-redmi-4a-redmi-2-original-imafdk2hrspwwagf.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 3899.00,Redmi 4A,16 GB,Gold,10890
44,https://rukminim1.flixcart.com/image/612/612/k2tc1ow0pkrrdj/mobile-refurbished/f/n/n/iphone-6-64-d-mg4f2nhn-a-mg4f2hn-a-apple-0-original-imaf6mdzdjvshuzx.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 11999.00,APPLE iPhone 6,64 GB,Space Grey,10200
45,https://rukminim1.flixcart.com/image/612/612/k1pbpu80pkrrdj/mobile/g/s/n/mi-redmi-note-4-mzb5254in-mzb5545in-original-imaf6mhrapsqhaeq.jpeg?q=70,6 GB RAM,Refurbished - Good,₹ 5799.00,Redmi Note 4,64 GB,Black,14850
46,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/y/n/m/galaxy-j7-prime-32-u-sm-g610fzddins-sm-g610fzdoins-samsung-3-original-imaf6mdsnhvqmavz.jpeg?q=70,2 GB RAM,Refurbished - Okay,₹ 4999.00,SAMSUNG Galaxy J7 Prime,32 GB,Gold,17850
47,https://rukminim1.flixcart.com/image/612/612/k0lbdzk0pkrrdj/mobile/g/z/5/apple-iphone-7-mn922hn-a-original-imaew3n4chh3rnbz.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 15299.00,APPLE iPhone 7,32 GB,Black,18360
48,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/j/g/u/mi-redmi-note-5-pro-mzb6083in-original-imaf6mhhzt797tfr.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 7399.00,Redmi Note 5 Pro,64 GB,Black,17820
49,https://rukminim1.flixcart.com/image/612/612/k1pbpu80pkrrdj/mobile/v/3/p/mi-redmi-5a-mci3b-original-imaf6jux8pjvhmry.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 3999.00,Redmi 5A,16 GB,Grey,9900
50,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/h/x/5/iphone-6-32-u-mq3d2hn-a-apple-0-original-imaf6mdyjghfq8gz.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 10499.00,APPLE iPhone 6,32 GB,Space Grey,10200
51,https://rukminim1.flixcart.com/image/612/612/k1pbpu80pkrrdj/mobile/g/s/n/mi-redmi-note-4-mzb5254in-mzb5545in-original-imaf6mhrapsqhaeq.jpeg?q=70,6 GB RAM,Refurbished - Good,₹ 5099.00,Redmi Note 4,32 GB,Black,14850
